,ID,frac_possible_test_subset,frac_realistic_test_subset,mean_test_subset,std_test_subset
0,482,0.0,0.0,,
1,455,0.0,0.0,,
2,333,1.0,1.0,19.232596336409607,
3,119,0.0,0.0,,
4,125,0.0,0.0,,
5,284,0.0,0.0,,
6,253,0.0,0.0,,
7,252,0.0,0.0,,
8,285,0.0,0.0,,
9,124,0.0,0.0,,
10,454,0.0,0.0,,
11,481,0.0,0.0,,
12,456,0.0,0.0,,
13,126,0.0,0.0,,
14,287,0.0,0.0,,
15,278,1.0,1.0,6.048315863760389,
16,250,0.0,0.0,,
17,251,0.0,0.0,,
18,279,1.0,1.0,6.818728692027577,
19,286,0.0,0.0,,
20,127,0.0,0.0,,
21,480,0.0,0.0,,
22,453,0.0,0.0,,
23,335,1.0,1.0,28.285181988423872,
24,309,1.0,1.0,46.98017522642004,
25,123,0.0,0.0,,
26,282,1.0,1.0,21.08369712447979,
27,255,0.0,0.0,,
28,254,0.0,0.0,,
29,283,0.0,0.0,,
30,122,0.0,0.0,,
31,308,1.0,1.0,26.966040527111183,
32,452,0.0,0.0,,
33,334,1.0,1.0,22.78782930392407,
34,336,1.0,1.0,37.97871430445603,
35,450,0.0,0.0,,
36,120,0.0,0.0,,
37,281,1.0,1.0,11.01514930057052,
38,256,1.0,1.0,-43.29973224861836,
39,257,1.0,1.0,-17.80833106756233,
40,280,1.0,1.0,8.154549957420043,
41,121,0.0,0.0,,
42,479,0.0,0.0,,
43,337,1.0,1.0,61.86286082426408,
44,451,0.0,0.0,,
45,393,0.0,0.0,,
46,422,0.0,0.0,,
47,344,0.0,0.0,,
48,152,0.0,0.0,,
49,146,0.0,0.0,,
50,224,0.0,0.0,,
51,230,1.0,1.0,-70.96047355676951,
52,231,1.0,1.0,-34.1570982210032,
53,225,0.0,0.0,,
54,147,0.0,0.0,,
55,423,0.0,0.0,,
56,392,0.0,0.0,,
57,421,0.0,0.0,,
58,145,0.0,0.0,,
59,151,0.0,0.0,,
60,227,0.0,0.0,,
61,226,0.0,0.0,,
62,150,0.0,0.0,,
63,144,0.0,0.0,,
64,420,0.0,0.0,,
65,391,1.0,1.0,52.939862147431256,
66,395,0.0,0.0,,
67,424,0.0,0.0,,
68,342,0.0,0.0,,
69,197,0.0,0.0,,
70,168,0.0,0.0,,
71,222,0.0,0.0,,
72,223,0.0,0.0,,
73,169,0.0,0.0,,
74,196,0.0,0.0,,
75,419,0.0,0.0,,
76,425,0.0,0.0,,
77,343,0.0,0.0,,
78,394,0.0,0.0,,
79,396,0.0,0.0,,
80,341,0.0,0.0,,
81,427,0.0,0.0,,
82,369,0.0,0.0,,
83,194,0.0,0.0,,
84,143,0.0,0.0,,
85,221,0.0,0.0,,
86,195,0.0,0.0,,
87,368,0.0,0.0,,
88,340,0.0,0.0,,
89,426,0.0,0.0,,
90,397,0.0,0.0,,
91,371,0.0,0.0,,
92,365,0.0,0.0,,
93,198,0.0,0.0,,
94,173,0.0,0.0,,
95,98,0.0,0.0,,
96,99,0.0,0.0,,
97,172,0.0,0.0,,
98,199,0.0,0.0,,
99,364,1.0,1.0,74.16505928184925,
100,370,0.0,0.0,,
101,399,0.0,0.0,,
102,428,0.0,0.0,,
103,366,0.0,0.0,,
104,400,0.0,0.0,,
105,372,0.0,0.0,,
106,170,0.0,0.0,,
107,171,0.0,0.0,,
108,367,0.0,0.0,,
109,398,0.0,0.0,,
110,363,1.0,1.0,46.2558882773286,
111,175,0.0,0.0,,
112,149,0.0,0.0,,
113,203,0.0,0.0,,
114,202,0.0,0.0,,
115,148,0.0,0.0,,
116,174,0.0,0.0,,
117,362,1.0,1.0,35.31585178531413,
118,176,0.0,0.0,,
119,200,0.0,0.0,,
120,228,0.0,0.0,,
121,229,0.0,0.0,,
122,201,0.0,0.0,,
123,177,0.0,0.0,,
124,361,1.0,1.0,28.867169616692824,
125,312,0.0,0.0,,
126,306,1.0,1.0,15.509795197877017,
127,307,1.0,1.0,19.46696198001709,
128,313,0.0,0.0,,
129,449,0.0,0.0,,
130,339,0.0,0.0,,
131,305,1.0,1.0,13.074498517709522,
132,311,0.0,0.0,,
133,258,1.0,1.0,-12.013689898425769,
134,310,0.0,0.0,,
135,304,1.0,1.0,11.43043488463295,
136,338,0.0,0.0,,
137,314,0.0,0.0,,
138,102,0.0,0.0,,
139,248,0.0,0.0,,
140,249,0.0,0.0,,
141,103,0.0,0.0,,
142,315,0.0,0.0,,
143,101,0.0,0.0,,
144,277,1.0,1.0,5.547911369229166,
145,276,1.0,1.0,5.19703705975998,
146,100,0.0,0.0,,
